5.18411 to 5.77262,0.163
5.77262 to 6.36113,0.125
6.36113 to 6.94964,0.127
6.94964 to 7.53816,0.092
7.53816 to 8.12667,0.081
8.12667 to 8.71518,0.074
8.71518 to 9.30369,0.053
9.30369 to 9.8922,0.037
9.8922 to 10.4807,0.043
10.4807 to 11.0692,0.027
11.0692 to 11.6577,0.032
11.6577 to 12.2462,0.022
12.2462 to 12.8348,0.017
12.8348 to 13.4233,0.014
13.4233 to 14.0118,0.009
14.0118 to 14.6003,0.012
14.6003 to 15.1888,0.008
15.1888 to 15.7773,0.005
15.7773 to 16.3658,0.004
16.3658 to 16.9543,0.005
